ID,TagId,Species
51798,2D192A61,Zonotrichia albicollis
69628,074C5507,Melospiza georgiana
69649,1E19344C,Melospiza georgiana
69652,4B781E19,Cardellina canadensis
69659,331E5533,Setophaga pensylvanica
69660,55197834,Seiurus aurocapilla
69663,4C074B4B,Parkesia noveboracensis
69684,07195261,Zonotrichia albicollis
69685,19072D07,Cardellina canadensis
69691,07551955,Melospiza georgiana
69872,52331E07,Zonotrichia albicollis
69881,664C3366,Melospiza georgiana
69902,61197878,Zonotrichia albicollis
69911,2D550707,Melospiza georgiana
69929,66336119,Seiurus aurocapilla
69934,522D2A61,Parkesia noveboracensis
69936,52077852,Setophaga pensylvanica
69937,34661E4C,Seiurus aurocapilla
69938,5266554C,Zonotrichia albicollis
69940,662D1E61,Melospiza georgiana
69942,1E344B33,Melospiza georgiana
69943,5278191E,Parkesia noveboracensis
69944,55524C1E,Parkesia noveboracensis
69945,072D611E,Zonotrichia albicollis
69946,66665219,Melospiza georgiana
69947,342A1907,Parkesia noveboracensis
69949,522A192A,Zonotrichia albicollis
69950,61190755,Setophaga pensylvanica
69952,5266072A,Melospiza georgiana
69958,614B334C,Setophaga pensylvanica
69959,554B611E,Zonotrichia albicollis
69960,781E6155,Zonotrichia albicollis
69961,4C076633,Seiurus aurocapilla
69962,66342A19,Parkesia noveboracensis
69963,33331919,Melospiza georgiana
69965,612A0719,Seiurus aurocapilla
69966,3407554B,Zonotrichia albicollis
69967,52074B78,Zonotrichia albicollis
69968,55190719,Seiurus aurocapilla
69969,07340755,Melospiza georgiana
69970,4C075533,Parkesia noveboracensis
69971,662D4C19,Melospiza georgiana
69972,4C342A52,Cardellina canadensis
69973,4C66192D,Zonotrichia albicollis
69974,2A1E1907,Zonotrichia albicollis
69975,52330761,Setophaga pensylvanica
69976,07332D2A,Seiurus aurocapilla
69977,1E784B61,Setophaga pensylvanica
69986,55665507,Melospiza georgiana
69987,1E193419,Seiurus aurocapilla
70229,3307662A,Cardellina canadensis
70243,4B4C7861,Seiurus aurocapilla
70245,2A2A334B,Parkesia noveboracensis
70246,34661E4B,Setophaga pensylvanica
70247,521E1E34,Seiurus aurocapilla
